PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
1,11,32,0,17,1,2009,11,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.721292755259617
1,8,34,1,25,0,2009,11,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.2514936379037054
1,6,10,0,0,1,2009,11,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.04748458990813788
2,0,37,0,1,1,2009,11,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.05248296779320502
3,6,6,1,24,0,2009,11,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-2.557356879188422
3,2,10,0,1,1,2009,11,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.03484075978215726
3,1,19,1,23,1,2009,11,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.2476309360240883
3,0,0,1,35,0,2009,11,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.7528154892421166
4,11,8,1,25,1,2009,11,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.512981953547868
4,9,26,1,24,0,2009,11,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.2763484625655617
1,10,24,0,19,0,2009,11,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.17235341218685143
1,5,46,0,0,0,2009,11,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.00792546019487334
2,10,56,1,25,1,2009,11,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.4466385531925647
2,7,12,0,17,1,2009,11,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.34514398281517017
2,6,46,1,24,0,2009,11,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.7312461065120526
2,1,0,1,25,0,2009,11,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.5375962660996871
4,9,12,0,23,0,2009,11,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.5058638812649034
4,7,10,1,25,0,2009,11,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.11386161323019336
1,8,35,1,26,0,2009,11,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0860997810208484
1,5,29,1,26,1,2009,11,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.6156907809527836
2,9,31,0,16,0,2009,11,20,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.6430975972176032
2,4,30,0,18,0,2009,11,20,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.822621302478308
